id_e,scope,location_mentioned,text,keywords,text_length,relevance,relevance_category,primary_emotion,emotion_intensity,urban_value,l1_confidence,has_location,like_count,comment_count,tags,source,url,crawl_time,publish_time,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence
e0011,规划范围,均瑶广场,东山公园山顶的绿化带被破坏了影响了周边居民生活,"绿化带,东山,山顶,周边,公园",23,relevant,城市,愤怒,4,medium,0.86,True,36,3,宜昌环境|身边事|城市生活,weibo,https://weibo.com/2502492232/2fd664c7,2026-06-13T12:00:00.000000,2026-05-23T20:00:44,111.3301,30.705,531622.06,3.3983108e+06,三峡职业技术学院,教育,0.86,Very Positive,0.23
e0012,规划范围,夷陵大道,每天路过东山大道长途站，消防设施需要增加太危险了,"消防设施,东山,长途,路过,大道",24,relevant,设施,怀念,3,high,0.85,True,11,0,公共设施,dianping,https://www.dianping.com/review/78587600,2026-06-13T12:00:00.000000,2026-03-22T19:27:50,111.3066,30.7103,529372.7,3.398895e+06,绿萝路,社区,0.07,Very Negative,0.24
e0013,规划范围,西陵一路,磨基山森林公园菜市场要搬迁，这次是真的要动了,"磨基山,要动,菜市场,森林公园,搬迁",22,relevant,城建,怀念,1,high,0.82,True,275,15,城建动态,weibo,https://weibo.com/8002756293/e3f87642,2026-06-13T12:00:00.000000,2026-05-28T22:23:45,111.3024,30.6898,528969.8,3.396621e+06,东山公园,公园,0.97,Very Positive,0.22
e0014,规划范围,长江,珍珠路小区门口乱倒建筑垃圾，大家有没有同感,"同感,垃圾,珍珠,小区,有没有",21,relevant,环境,愤怒,2,medium,0.97,True,3,0,身边事|宜昌环境,weibo,https://weibo.com/3689016713/622d5d3f,2026-06-13T12:00:00.000000,2026-06-09T01:00:35,111.302,30.715,528930.94,3.3994122e+06,夷陵大道-云集段,次级商圈,0.01,Very Negative,0.21
e0015,规划范围,东山,沿江大道中段那边附近工厂排废气,"废气,中段,沿江,大道,那边",15,relevant,环境,好奇,4,low,0.72,True,5,0,周边|环境,dianping,https://www.dianping.com/review/42877626,2026-06-13T12:00:00.000000,2026-04-08T08:33:22,111.2952,30.7018,528279.9,3.397948e+06,均瑶广场,核心商圈,0.63,Positive,0.15
e0016,规划范围,港窑路,城东大道BRT站的路边烧烤油烟扰民影响了周边居民生活,"BRT,油烟,扰民,烧烤,城东",26,relevant,城市,失望,3,high,0.86,True,17,3,身边事|城市生活,weibo,https://weibo.com/8991511106/f0c123bd,2026-06-13T12:00:00.000000,2026-03-16T04:29:23,111.3204,30.7345,530687.9,3.4015822e+06,三峡大学,教育,0.08,Very Negative,0.26
e0017,规划范围,锦绣社区,每次路过沿江大道中段都闻到灰尘特别大，窗户都不敢开,"闻到,灰尘,中段,沿江,路过",25,relevant,环境,满足,2,low,0.75,True,10,3,宜昌|环境,xiaohongshu,https://www.xiaohongshu.com/explore/b74f9b7b83fd99f99b4bf1a5,2026-06-13T12:00:00.000000,2026-04-21T15:44:29,111.3434,30.6831,532905.9,3.3958962e+06,中南路商圈,核心商圈,0.04,Very Negative,0.25
e0018,规划范围,白龙岗小区,沿江大道那边河道漂浮垃圾,"漂浮,沿江,垃圾,大道,河道",12,relevant,城市,喜爱,4,low,0.71,True,13,1,城市|生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/5f65e625fb0fcf09e87e267e,2026-06-13T12:00:00.000000,2026-05-10T03:35:19,111.3319,30.7235,531793.5,3.4003678e+06,夷陵大道-港窑段,次级商圈,0.87,Very Positive,0.12
e0019,规划范围,西陵一路,儿童公园环境整治后好多了，但小区门口乱倒建筑垃圾还是存在,"儿童公园,垃圾,整治,小区,好多",28,relevant,环境,失望,2,low,0.82,True,11,3,环境污染|河道管理,su12345,https://su12345.yichang.gov.cn/complaint/S2026903284,2026-06-13T12:00:00.000000,2026-05-19T11:16:01,111.3733,30.6568,535780.5,3.3929895e+06,港务社区,社区,0.38,Negative,0.28
e0020,规划范围,运河公园,住在锦绣社区门口附近，晚上光污染严重，快受不了了,"光污染,锦绣,受不了,社区,门口",24,relevant,环境,满足,3,medium,0.97,True,4,4,生活|环境|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/3fc747e7d673958aeb76af7c,2026-06-13T12:00:00.000000,2026-06-11T23:50:49,111.3096,30.6943,529658.06,3.3971255e+06,儿童公园,公园,0.07,Very Negative,0.24
e0021,规划范围,夷陵区,滨江公园新装的信报箱挺好的，给社区点赞,"信报箱,点赞,新装,滨江,社区",19,relevant,社区,好奇,1,high,0.8,True,25,2,宜昌|社区|民生,xiaohongshu,https://www.xiaohongshu.com/explore/6ded65033c0a36334bda8036,2026-06-13T12:00:00.000000,2026-05-17T10:45:45,111.313,30.7017,529982.6,3.3979445e+06,宜昌站,交通,0.98,Very Positive,0.19
e0022,规划范围,港窑路,水悦城护栏早该换了，反映了好几次了,"水悦城,早该,护栏,几次,反映",17,relevant,设施,喜爱,3,low,0.83,True,25,4,道路设施|市政设施,su12345,https://su12345.yichang.gov.cn/complaint/S2026116901,2026-06-13T12:00:00.000000,2026-05-11T00:50:27,111.3025,30.7062,528974.2,3.3984365e+06,大洋百货,核心商圈,0.24,Negative,0.17
e0023,规划范围,珍珠路,伍家岗区的快递比以前好多了,"伍家岗区,快递,好多,以前",13,relevant,民生,喜爱,4,medium,0.9,True,24,2,民生|生活便利|宜昌服务,weibo,https://weibo.com/6626909007/726ddfe7,2026-06-13T12:00:00.000000,2026-03-23T17:29:47,111.3096,30.7081,529661.25,3.3986572e+06,万达广场,核心商圈,0.3,Negative,0.13
e0024,规划范围,运河公园,早起白龙岗小区南门散步，但空气有异味体验很差,"龙岗,异味,很差,散步,早起",22,relevant,城市,愤怒,5,high,0.92,True,2,5,身边事|城市生活,weibo,https://weibo.com/9413010620/70e7f1b9,2026-06-13T12:00:00.000000,2026-04-05T04:45:03,111.2976,30.6987,528509.06,3.397608e+06,云集路-沿江大道口,沿江商圈,0.54,Neutral,0.22
e0025,规划范围,体育场路,西陵一路天桥下水道反味，希望有关部门管管,"反味,西陵,管管,下水道,天桥",20,relevant,城市,失望,3,medium,0.76,True,2,4,身边事|宜昌环境|城市生活,weibo,https://weibo.com/8827100119/5e62f1ea,2026-06-13T12:00:00.000000,2026-03-28T07:35:11,111.4156,30.6323,539847.6,3.3902838e+06,花艳社区,社区,0.26,Negative,0.2
e0026,规划范围,白龙岗小区,绿萝路的供电管理混乱,"绿萝路,管理混乱,供电",10,relevant,社区,愤怒,5,low,0.94,True,32,7,社区服务,su12345,https://su12345.yichang.gov.cn/complaint/S2026747570,2026-06-13T12:00:00.000000,2026-05-19T04:01:10,111.3574,30.6838,534243.94,3.395972e+06,万寿桥社区,社区,0.08,Very Negative,0.1
e0027,规划范围,东山大道,胜利四路要建新的学校，有业主群吗求拉,"四路,建新,业主,胜利,学校",18,relevant,城建,失望,1,medium,0.9,True,6,3,城建动态,weibo,https://weibo.com/6616630193/66c60f58,2026-06-13T12:00:00.000000,2026-04-06T01:47:58,111.3123,30.7126,529912.94,3.3991498e+06,沿江大道东段社区,社区,0.99,Very Positive,0.18
e0028,规划范围,城东大道,沿江大道空气有异味，希望有关部门管管,"管管,异味,沿江,大道,空气",18,relevant,环境,怀念,3,high,0.92,True,6,3,周边环境,meituan,https://www.meituan.com/meishi/550551016/,2026-06-13T12:00:00.000000,2026-03-17T10:11:55,111.3191,30.6965,530576.25,3.3973655e+06,东山花园,社区,0.03,Very Negative,0.18
e0029,规划范围,锦绣社区,猇亭区那边灰尘特别大，窗户都不敢开,"灰尘,窗户,那边,不敢,特别",17,relevant,环境,怀念,1,low,0.9,True,6,5,周边环境,meituan,https://www.meituan.com/meishi/454351228/,2026-06-13T12:00:00.000000,2026-04-14T08:48:09,111.3746,30.6664,535901.0,3.3940522e+06,胜利一路社区,社区,0.05,Very Negative,0.17
e0030,规划范围,绿萝路,东山公园准备建垃圾中转站，大家公示期到月底,"期到,中转站,东山,公示,垃圾",21,relevant,城建,失望,4,low,0.94,True,45,8,城建,xiaohongshu,https://www.xiaohongshu.com/explore/cd87bba1d5607ec281f27261,2026-06-13T12:00:00.000000,2026-03-25T16:11:16,111.3208,30.7427,530721.5,3.4024892e+06,窑湾社区,边缘,0.21,Negative,0.21
e0031,规划范围,点军区,每次路过CBD中央大街都闻到灰尘特别大，窗户都不敢开,"中央大街,CBD,闻到,灰尘,路过",26,relevant,环境,怀念,2,medium,0.99,True,14,1,环境|周边,dianping,https://www.dianping.com/review/84528537,2026-06-13T12:00:00.000000,2026-06-12T08:37:19,111.3273,30.718,531346.4,3.3997605e+06,水悦城,核心商圈,0.02,Very Negative,0.26
e0032,规划范围,国贸大厦,发展大道和CBD的银行对比，差距太大了,"CBD,大道,差距,对比,太大",19,relevant,社区,期待,4,low,0.98,True,112,6,生活服务|社区|便民|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/e66ea6c87d22c4d19350cdcf,2026-06-13T12:00:00.000000,2026-04-21T22:09:10,111.3383,30.696,532412.44,3.3973168e+06,大公桥江段,沿江社区,0.95,Very Positive,0.19
e0033,规划范围,夷陵大道,原来夷陵大道城市书房24小时开放，今天才发现,"24,夷陵,书房,大道,开放",22,relevant,城市,怀念,3,medium,0.93,True,27,2,宜昌|城市记忆|文化,xiaohongshu,https://www.xiaohongshu.com/explore/3046979be926d82c8a7cb82a,2026-06-13T12:00:00.000000,2026-03-25T10:17:30,111.309,30.7201,529594.8,3.3999848e+06,运河公园,公园,0.92,Very Positive,0.22
e0034,规划范围,儿童公园,城东大道BRT站公交站台坏了，反映了好几次了,"BRT,站台,城东,公交,大道",22,relevant,设施,愤怒,1,high,0.73,True,6,0,公共设施|基础设施,dianping,https://www.dianping.com/review/71343507,2026-06-13T12:00:00.000000,2026-05-10T15:28:56,111.3619,30.6505,534691.44,3.3922818e+06,合益路,社区,0.78,Positive,0.22
e0035,规划范围,白龙岗小区,吐槽沿江大道中段的消防通道，早该换了,"吐槽,消防通道,早该,中段,沿江",18,relevant,城市,愤怒,2,medium,0.89,True,12,5,城市生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/62ef065cd076417e156d8c72,2026-06-13T12:00:00.000000,2026-06-09T02:26:45,111.3479,30.6729,533338.5,3.394759e+06,中南路商圈,核心商圈,0.08,Very Negative,0.18
e0036,规划范围,运河公园,住在胜利四路滨江最不方便的就是保安涨了服务反而更差,"更差,滨江,四路,保安,方便",25,relevant,社区,中性,4,high,0.9,True,37,6,社区|生活服务|便民,xiaohongshu,https://www.xiaohongshu.com/explore/3c76c9133df49c16d4824f8d,2026-06-13T12:00:00.000000,2026-04-21T05:28:15,111.2884,30.7057,527631.25,3.3983812e+06,西陵一路商区,次级商圈,0.03,Very Negative,0.25
e0037,规划范围,滨江公园,香山福久源的理发店收费不合理，大家有没有同感,"福久源,同感,理发店,香山,不合理",22,relevant,民生,满足,1,medium,0.9,True,17,4,宜昌服务|民生|生活便利,weibo,https://weibo.com/4951043587/9b7cd5f7,2026-06-13T12:00:00.000000,2026-03-21T23:11:46,111.3023,30.702,528964.56,3.3979748e+06,CBD中央商务区,核心商圈,0.05,Very Negative,0.22
e0038,规划范围,东山公园,香格里拉的工地天天施工，噪音太大了，谁能来管管,"香格里拉,管管,噪音,工地,施工",23,relevant,城市,好奇,1,low,0.72,True,85,8,生活|城市|环境|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/65331ddf981c3d99b37199df,2026-06-13T12:00:00.000000,2026-05-10T01:45:07,111.2969,30.698,528442.6,3.3975345e+06,解放路-沿江大道口,沿江商圈,0.01,Very Negative,0.23
e0039,规划范围,点军区,东山大道空气有异味，大家有没有同感,"同感,异味,东山,大道,有没有",17,relevant,环境,喜爱,5,high,0.75,True,1085,61,宜昌环境,weibo,https://weibo.com/8728291595/2c955c4f,2026-06-13T12:00:00.000000,2026-05-08T04:51:47,111.3272,30.718,531345.3,3.3997512e+06,三峡大学,教育,0.03,Very Negative,0.17
e0040,规划范围,长江,港窑路附近绿化设计不合理，出行很不方便,"港窑路,绿化,出行,不合理,方便",19,relevant,民生,失望,1,low,0.72,True,17834,117,宜昌|民生,xiaohongshu,https://www.xiaohongshu.com/explore/5ebf493f97dadc9819b82704,2026-06-13T12:00:00.000000,2026-03-23T03:51:15,111.3223,30.7299,530870.6,3.4010758e+06,三峡大学,教育,0.79,Positive,0.19
e0041,规划范围,均瑶广场,珍珠路小学的河水发臭了问题，已经持续大半年了,"发臭,大半年,珍珠,河水,小学",22,relevant,城市,喜爱,5,medium,0.78,True,108,7,宜昌环境|身边事|城市生活,weibo,https://weibo.com/8851741632/d6e817b3,2026-06-13T12:00:00.000000,2026-03-16T16:30:11,111.309,30.7057,529603.8,3.398385e+06,万达江边段,沿江商圈,0.07,Very Negative,0.22
e0042,规划范围,发展大道,对比前几年，磨基山森林公园下水道反味越来越严重了,"磨基山,反味,下水道,森林公园,对比",24,relevant,城市,愤怒,3,high,0.75,True,25,5,城市|环境,xiaohongshu,https://www.xiaohongshu.com/explore/1f4fc13c4cbed5fd42bbe697,2026-06-13T12:00:00.000000,2026-04-26T20:50:55,111.2941,30.7005,528175.4,3.3978102e+06,夷陵广场,核心商圈,0.88,Very Positive,0.24
e0043,规划范围,运河公园,西陵一路天桥的垃圾清运不及时问题，已经持续大半年了,"垃圾清运,西陵,天桥,大半年,一路",25,relevant,城市,愤怒,2,medium,0.71,True,72,5,宜昌|环境|生活|城市,xiaohongshu,https://www.xiaohongshu.com/explore/a5a3e4c70739558c81977bc0,2026-06-13T12:00:00.000000,2026-04-03T15:59:16,111.325,30.716,531130.25,3.3995278e+06,夷陵大道-港窑段,次级商圈,0.21,Negative,0.25
e0044,规划范围,东山大道,绿萝路菜市场健身器材早该换了，反映了好几次了,"健身器材,绿萝路,菜市场,早该,几次",22,relevant,设施,愤怒,4,low,0.89,True,0,1,基础设施,dianping,https://www.dianping.com/review/98846524,2026-06-13T12:00:00.000000,2026-03-13T11:43:59,111.294,30.7043,528160.25,3.3982322e+06,步行街,核心商圈,0.34,Negative,0.22
e0045,规划范围,水悦城,东山公园的滨江的文化墙更新了，周末带娃去了,"带娃,滨江,东山,周末,公园",21,relevant,城市,喜爱,2,high,0.77,True,13,1,打卡|城市记忆|文化,xiaohongshu,https://www.xiaohongshu.com/explore/498b9bf8258b590f0c5c6bfd,2026-06-13T12:00:00.000000,2026-03-30T07:10:41,111.3058,30.6986,529297.1,3.3975935e+06,胜利四路社区,社区,0.2,Very Negative,0.21
e0046,规划范围,东山,东山公园山顶附近快递比以前差远了，生活很不方便,"差远了,快递,东山,山顶,公园",23,relevant,民生,怀念,3,low,0.98,True,9,5,民生|宜昌服务,weibo,https://weibo.com/5021573449/59f2cfc2,2026-06-13T12:00:00.000000,2026-04-03T01:29:31,111.3638,30.6666,534860.2,3.394073e+06,桔城路商圈,次级商圈,0.56,Neutral,0.23
e0047,规划范围,体育场路,香格里拉的楼梯扶手设计不合理，物业一直不解决,"楼梯扶手,香格里拉,不合理,物业,设计",22,relevant,设施,怀念,3,medium,0.94,True,4,4,公共设施,su12345,https://su12345.yichang.gov.cn/complaint/S2026380059,2026-06-13T12:00:00.000000,2026-03-29T14:53:28,111.2934,30.732,528098.9,3.4013002e+06,夜明珠,社区,0.14,Very Negative,0.22
e0048,规划范围,体育场路,夷陵区的博物馆免费开放了值得一逛,"夷陵区,一逛,免费,博物馆,开放",16,relevant,城市,失望,2,high,0.91,True,94,3,打卡|城市记忆|文化,xiaohongshu,https://www.xiaohongshu.com/explore/9ec3025b3dd5767df80bc48c,2026-06-13T12:00:00.000000,2026-05-17T15:43:48,111.3206,30.7082,530710.2,3.3986688e+06,夷陵大道-胜利段,次级商圈,1.0,Very Positive,0.16
e0049,规划范围,黄柏河,恒大绿洲的消防通道早该换了，物业一直不解决,"恒大,消防通道,早该,绿洲,物业",21,relevant,设施,好奇,5,high,0.99,True,18,1,基础设施,meituan,https://www.meituan.com/meishi/640638497/,2026-06-13T12:00:00.000000,2026-04-07T17:19:08,111.3508,30.687,533607.4,3.396321e+06,万寿桥社区,社区,0.01,Very Negative,0.21
e0050,规划范围,胜利四路,白龙岗小区的垃圾桶太旧了,"太旧,龙岗,垃圾桶,小区",12,relevant,城市,好奇,3,high,0.9,True,3,4,城市生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/8f338d4537c6ba921d19cc30,2026-06-13T12:00:00.000000,2026-05-01T19:04:35,111.3275,30.7087,531368.0,3.398719e+06,三峡职业技术学院,教育,0.07,Very Negative,0.12
e0051,规划范围,猇亭区,沿江大道的消防通道如果能修好就好了,"消防通道,修好,沿江,大道,如果",17,relevant,城市,好奇,2,high,0.8,True,7,4,社区|民生|城市生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/804805a427b18bb579a1acab,2026-06-13T12:00:00.000000,2026-04-10T09:51:14,111.3343,30.7087,532023.94,3.398721e+06,夷陵大道-港窑段,次级商圈,0.18,Very Negative,0.17
e0052,规划范围,西陵区,三峡大学最近晚上光污染严重，居民意见很大,"光污染,三峡,晚上,意见,居民",20,relevant,环境,喜爱,2,medium,0.92,True,12,2,周边|环境,dianping,https://www.dianping.com/review/45695487,2026-06-13T12:00:00.000000,2026-04-20T12:04:07,111.3402,30.6956,532598.2,3.397279e+06,大公桥社区,社区,0.05,Very Negative,0.2
e0053,规划范围,西陵区,每次路过绿萝路都闻到水质越来越差了,"绿萝路,闻到,水质,路过,每次",17,relevant,环境,中性,5,high,0.82,True,24,5,环境,xiaohongshu,https://www.xiaohongshu.com/explore/7342e016d53a398e334089b1,2026-06-13T12:00:00.000000,2026-06-04T01:22:26,111.2882,30.6989,527608.6,3.3976232e+06,滨江公园-双亭,沿江休闲,0.02,Very Negative,0.17
e0054,规划范围,西陵一路,每天路过云集路，信报箱被占了太危险了,"信报箱,云集,路过,危险,每天",18,relevant,设施,怀念,5,high,0.81,True,10,5,公共设施,dianping,https://www.dianping.com/review/62245632,2026-06-13T12:00:00.000000,2026-04-20T09:11:05,111.2844,30.7382,527234.75,3.401979e+06,西坝社区,社区,0.47,Neutral,0.18
e0055,规划范围,体育场路,每次路过CBD都闻到工地天天施工，噪音太大了,"CBD,噪音,闻到,工地,路过",22,relevant,城市,喜爱,2,medium,0.98,True,10,0,城市生活|身边事,weibo,https://weibo.com/3273737990/a9e93f8b,2026-06-13T12:00:00.000000,2026-06-03T06:58:48,111.3202,30.7159,530670.8,3.3995158e+06,夷陵大道-胜利段,次级商圈,0.33,Negative,0.22
e0056,规划范围,长江,住在西陵区附近，下水道反味，快受不了了,"西陵区,反味,下水道,受不了,附近",19,relevant,城市,怀念,2,high,0.78,True,28,4,城市生活,weibo,https://weibo.com/3052873025/9a4d077a,2026-06-13T12:00:00.000000,2026-05-16T23:02:48,111.2845,30.6916,527260.8,3.396812e+06,滨江公园-镇江阁,沿江休闲,0.2,Very Negative,0.19
e0057,规划范围,胜利四路,关于胜利四路滨江道路要拓宽，有知情人士吗,"滨江,四路,拓宽,知情,胜利",20,relevant,城建,期待,4,high,0.87,True,5,2,城建,dianping,https://www.dianping.com/review/89174575,2026-06-13T12:00:00.000000,2026-05-05T10:05:08,111.3231,30.7034,530955.75,3.3981342e+06,沿江大道东段社区,社区,0.91,Very Positive,0.2
e0058,规划范围,运河公园,西陵一路的街头艺术越来越多了，推荐大家去看看,"西陵,街头,一路,艺术,越来越",22,relevant,城市,愤怒,2,high,0.98,True,3,5,城市记忆|打卡,xiaohongshu,https://www.xiaohongshu.com/explore/e331b7f235e9cedcbe70e4f5,2026-06-13T12:00:00.000000,2026-05-22T02:57:06,111.377,30.6621,536131.25,3.3935682e+06,桔城路商圈,次级商圈,0.97,Very Positive,0.22
e0059,规划范围,均瑶广场,葛洲坝渣土车半夜经过噪音大，大家有没有同感,"渣土,同感,葛洲坝,噪音,半夜",21,relevant,城市,好奇,4,high,0.86,True,22,4,宜昌|环境|城市|生活,xiaohongshu,https://www.xiaohongshu.com/explore/603d54ff580c3ddecd154cc1,2026-06-13T12:00:00.000000,2026-03-31T21:29:32,111.3778,30.6675,536206.0,3.3941768e+06,伍家岗小学,教育,0.14,Very Negative,0.21
e0060,规划范围,磨基山公园,磨基山森林公园规划方案公示了，大家公示期到月底,"公示,磨基山,期到,森林公园,月底",23,relevant,城建,愤怒,5,low,0.92,True,76,2,城建动态,weibo,https://weibo.com/7536910359/fc7f4bb4,2026-06-13T12:00:00.000000,2026-06-04T17:02:37,111.281,30.7397,526909.2,3.4021478e+06,葛洲坝中学,教育,0.99,Very Positive,0.23
e0061,规划范围,西陵一路,香山福久源的电梯需要增加，物业一直不解决,"福久源,香山,电梯,物业,解决",20,relevant,城市,喜爱,1,medium,0.95,True,19,4,城市生活,xiaohongshu,https://www.xiaohongshu.com/explore/1ea569cd7a893cebd053c25a,2026-06-13T12:00:00.000000,2026-04-23T16:51:27,111.3869,30.6636,537082.75,3.3937435e+06,白沙路,社区,0.06,Very Negative,0.2
e0062,规划范围,均瑶广场,城东大道BRT站那边要拆迁了,"BRT,城东,拆迁,大道,那边",14,relevant,城建,期待,1,high,0.87,True,12,3,城建,dianping,https://www.dianping.com/review/10838561,2026-06-13T12:00:00.000000,2026-03-30T05:26:37,111.3013,30.7098,528865.7,3.3988405e+06,锦绣社区,社区,0.83,Very Positive,0.14
e0063,规划范围,国贸大厦,磨基山公园环境整治后好多了，但晚上光污染严重还是存在,"磨基山,光污染,整治,好多,公园",26,relevant,环境,中性,1,low,0.89,True,10,5,周边环境,meituan,https://www.meituan.com/meishi/705299907/,2026-06-13T12:00:00.000000,2026-05-14T18:45:08,111.2961,30.7028,528363.94,3.3980632e+06,均瑶广场,核心商圈,0.31,Negative,0.26
e0064,规划范围,东山大道,今天看到白龙岗小区南门规划方案公示了的通告,"龙岗,通告,公示,南门,小区",21,relevant,城建,满足,5,low,0.72,True,10,0,城建动态|宜昌新闻|民生实事,weibo,https://weibo.com/9833511274/1ef8a33b,2026-06-13T12:00:00.000000,2026-05-30T04:20:52,111.3583,30.6715,534338.0,3.3946095e+06,五一广场,核心商圈,0.73,Positive,0.21
e0065,规划范围,白龙岗小区,伍家岗区最近附近建了新的医院，邻居们都在讨论,"伍家岗区,邻居们,建了,讨论,医院",22,relevant,城建,失望,3,high,0.89,True,213,4,城建动态,weibo,https://weibo.com/1822556713/906c74e2,2026-06-13T12:00:00.000000,2026-05-18T07:54:20,111.3119,30.7097,529873.5,3.3988338e+06,宜昌站,交通,0.98,Very Positive,0.22
e0066,规划范围,滨江公园,三峡大学沁苑的环境问题：路边烧烤油烟扰民,"沁苑,油烟,扰民,烧烤,三峡",20,relevant,城市,怀念,5,medium,0.95,True,5,3,宜昌环境|城市生活,weibo,https://weibo.com/9030469484/e5d40717,2026-06-13T12:00:00.000000,2026-04-28T05:03:52,111.3857,30.6614,536964.44,3.3934945e+06,白沙路,社区,0.16,Very Negative,0.2
e0067,规划范围,CBD,胜利四路道路要拓宽，对周边房价有影响吗,"四路,拓宽,周边,房价,胜利",19,relevant,城建,满足,2,medium,0.8,True,37,5,新鲜事|规划|宜昌|城建,xiaohongshu,https://www.xiaohongshu.com/explore/91a6f66b38a96d9101bef2e7,2026-06-13T12:00:00.000000,2026-04-01T06:33:52,111.3063,30.7132,529342.75,3.399223e+06,宜昌站,交通,0.98,Very Positive,0.19
