id_e,scope,source,text,keywords,domain,element,score,polarity,polarity_hint,emotion_intensity,l1_confidence,l2_confidence,emotion_type,category,timestamp,time_label,urban_value,target_type,target_detail,area_tag,zone,has_location,relevance,aspect_primary,aspect_polarity,aspects_json,semantic_target,policy_seed,project_seed,matrix_multi,attribution_confidence,blind_spot,lon,lat
ermawu_T3_00010,ermawu,sim_ermawu_l3l4,开街后人气回来了，热闹得像过年,文旅活力,urban_operation,事件,0.693,Positive,pos,0.458,0.886,0.754,喜,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.654,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,pos,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.822,1,111.276007,30.696988
ermawu_T3_00011,ermawu,sim_ermawu_l3l4,人太多挤得慌，根本走不动,文旅活力,urban_operation,事件,0.258,Negative,neg,0.72,0.723,0.749,怒,历史街区,2026-05-07,2026-05 五一·大南门建成文旅爆满,0.759,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neg,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.885,1,111.279261,30.698009
ermawu_T3_00012,ermawu,sim_ermawu_l3l4,回迁满意，原样回来住着踏实,回迁安置,urban_renewal,服务,0.655,Very Positive,pos,0.424,0.823,0.797,乐,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.631,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,pos,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.847,0,111.280067,30.693652
ermawu_T3_00013,ermawu,sim_ermawu_l3l4,"""宜昌""打卡墙出片，复古花墙绝了",网红打卡,urban_operation,文化,0.798,Very Positive,pos,0.324,0.794,0.822,乐,历史街区,2026-05-03,2026-05 五一·大南门建成文旅爆满,0.446,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,pos,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.822,0,111.281994,30.69966
ermawu_T3_00014,ermawu,sim_ermawu_l3l4,保留原貌真有味道，修新如旧做得好,修旧如旧,urban_renewal,文化,0.864,Positive,pos,0.382,0.878,0.906,乐,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.485,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.743,0,111.281936,30.693538
ermawu_T3_00015,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.626,Very Positive,pos,0.462,0.864,0.705,喜,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.666,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,pos,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.937,0,111.282354,30.69393
ermawu_T3_00016,ermawu,sim_ermawu_l3l4,原住民迁走，没了生活气,烟火气保留,urban_renewal,文化,0.116,Very Negative,neg,0.812,0.89,0.918,怒,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.881,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,neg,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.698,0,111.278678,30.697331
ermawu_T3_00017,ermawu,sim_ermawu_l3l4,回迁满意，原样回来住着踏实,回迁安置,urban_renewal,服务,0.815,Very Positive,pos,0.357,0.944,0.725,乐,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.71,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,pos,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.682,0,111.284949,30.693164
ermawu_T3_00018,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.735,Very Positive,pos,0.784,0.795,0.843,乐,历史街区,2026-05-07,2026-05 五一·大南门建成文旅爆满,0.492,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,pos,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.894,0,111.284445,30.692909
ermawu_T3_00019,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.689,Very Positive,pos,0.797,0.881,0.91,乐,历史街区,2026-05-04,2026-05 五一·大南门建成文旅爆满,0.589,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,pos,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.936,0,111.281879,30.698811
ermawu_T3_00020,ermawu,sim_ermawu_l3l4,既有文化味更有烟火气，难得,烟火气保留,urban_renewal,文化,0.771,Positive,pos,0.74,0.857,0.863,乐,历史街区,2026-05-07,2026-05 五一·大南门建成文旅爆满,0.759,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,pos,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.794,0,111.283371,30.694022
ermawu_T3_00021,ermawu,sim_ermawu_l3l4,二马路修旧如旧，百年老街焕发新生,修旧如旧,urban_renewal,文化,0.884,Very Positive,pos,0.729,0.926,0.888,喜,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.555,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.938,0,111.277192,30.701063
ermawu_T3_00022,ermawu,sim_ermawu_l3l4,保留原貌真有味道，修新如旧做得好,修旧如旧,urban_renewal,文化,0.641,Positive,pos,0.783,0.731,0.787,喜,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.567,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.861,0,111.274598,30.698375
ermawu_T3_00023,ermawu,sim_ermawu_l3l4,周边夜市烟火升腾，烧烤烤鱼小吃全有,夜经济,urban_operation,事件,0.623,Very Positive,pos,0.628,0.867,0.918,喜,历史街区,2026-05-04,2026-05 五一·大南门建成文旅爆满,0.768,aspect,夜经济,ermawu,ermawu,1,1,夜经济,pos,"[""夜经济""]",夜经济,"城市更新""十五五""规划(生活圈扩围;夜经济)",一刻钟便民生活圈建设;夜经济品牌培育,"[[""urban_operation"", ""事件"", ""主""], [""urban_governance"", ""事件"", ""次""]]",0.838,1,111.281585,30.697191
ermawu_T3_00024,ermawu,sim_ermawu_l3l4,夜经济让老街活了,夜经济,urban_operation,事件,0.774,Very Positive,pos,0.418,0.822,0.848,喜,历史街区,2026-05-07,2026-05 五一·大南门建成文旅爆满,0.434,aspect,夜经济,ermawu,ermawu,1,1,夜经济,pos,"[""夜经济""]",夜经济,"城市更新""十五五""规划(生活圈扩围;夜经济)",一刻钟便民生活圈建设;夜经济品牌培育,"[[""urban_operation"", ""事件"", ""主""], [""urban_governance"", ""事件"", ""次""]]",0.827,1,111.280393,30.698109
ermawu_T3_00025,ermawu,sim_ermawu_l3l4,开街垃圾满地没人扫,垃圾秩序,urban_governance,环境,0.395,Very Negative,neg,0.823,0.945,0.747,哀,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.473,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,neg,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.945,0,111.277688,30.697201
ermawu_T3_00026,ermawu,sim_ermawu_l3l4,五一日均1.5万人，百年老街出圈了,文旅活力,urban_operation,事件,0.645,Very Positive,pos,0.413,0.753,0.91,乐,历史街区,2026-05-04,2026-05 五一·大南门建成文旅爆满,0.775,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,pos,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.827,1,111.280511,30.693621
ermawu_T3_00027,ermawu,sim_ermawu_l3l4,下沉广场水景配老街，拍照绝佳,网红打卡,urban_operation,文化,0.923,Very Positive,pos,0.394,0.93,0.793,喜,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.444,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,pos,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.853,0,111.279439,30.698466
ermawu_T3_00028,ermawu,sim_ermawu_l3l4,夜经济让老街活了,夜经济,urban_operation,事件,0.884,Very Positive,pos,0.784,0.909,0.721,乐,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.483,aspect,夜经济,ermawu,ermawu,1,1,夜经济,pos,"[""夜经济""]",夜经济,"城市更新""十五五""规划(生活圈扩围;夜经济)",一刻钟便民生活圈建设;夜经济品牌培育,"[[""urban_operation"", ""事件"", ""主""], [""urban_governance"", ""事件"", ""次""]]",0.893,1,111.286896,30.695047
ermawu_T3_00029,ermawu,sim_ermawu_l3l4,人太多挤得慌，根本走不动,文旅活力,urban_operation,事件,0.265,Very Negative,neg,0.838,0.851,0.884,怒,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.541,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neg,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.895,1,111.28132,30.690971
ermawu_T3_00030,ermawu,sim_ermawu_l3l4,配套停车跟不上热度,停车难,urban_governance,设施,0.252,Very Negative,neg,0.881,0.836,0.904,愁,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.72,aspect,停车难,ermawu,ermawu,1,1,停车难,neg,"[""停车难""]",停车难,完整社区(配套设施补齐);一刻钟生活圈,停车设施补齐;配套完善,"[[""urban_governance"", ""设施"", ""主""], [""urban_planning"", ""设施"", ""次""]]",0.936,0,111.281411,30.699531
ermawu_T3_00031,ermawu,sim_ermawu_l3l4,业态有调性，不低端,业态丰富度,urban_operation,服务,0.624,Very Positive,pos,0.368,0.922,0.87,乐,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.512,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,pos,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.838,0,111.286672,30.695228
ermawu_T3_00032,ermawu,sim_ermawu_l3l4,下沉广场水景配老街，拍照绝佳,网红打卡,urban_operation,文化,0.787,Very Positive,pos,0.439,0.799,0.885,喜,历史街区,2026-05-03,2026-05 五一·大南门建成文旅爆满,0.648,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,pos,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.683,0,111.276868,30.698086
ermawu_T3_00033,ermawu,sim_ermawu_l3l4,烟火气没了，商业化太重,烟火气保留,urban_renewal,文化,0.079,Negative,neg,0.505,0.787,0.765,愁,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.795,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,neg,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.699,0,111.281206,30.698157
ermawu_T3_00034,ermawu,sim_ermawu_l3l4,不大规模搬迁是对的，老街坊还在,回迁安置,urban_renewal,服务,0.803,Very Positive,pos,0.637,0.739,0.888,乐,历史街区,2026-05-03,2026-05 五一·大南门建成文旅爆满,0.866,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,pos,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.941,0,111.287719,30.694747
ermawu_T3_00035,ermawu,sim_ermawu_l3l4,老建筑修得讲究，最小干预看出功夫,修旧如旧,urban_renewal,文化,0.644,Positive,pos,0.776,0.721,0.782,喜,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.522,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.908,0,111.275753,30.700422
ermawu_T3_00036,ermawu,sim_ermawu_l3l4,打卡墙前要排队,网红打卡,urban_operation,文化,0.565,Neutral,neu,0.305,0.834,0.762,急,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.805,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,neu,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.73,0,111.283687,30.693274
ermawu_T3_00037,ermawu,sim_ermawu_l3l4,老建筑修得讲究，最小干预看出功夫,修旧如旧,urban_renewal,文化,0.864,Positive,pos,0.342,0.839,0.848,乐,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.701,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.837,0,111.280098,30.692854
ermawu_T3_00038,ermawu,sim_ermawu_l3l4,老建筑修得讲究，最小干预看出功夫,修旧如旧,urban_renewal,文化,0.724,Very Positive,pos,0.642,0.897,0.812,喜,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.85,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.922,0,111.28003,30.6933
ermawu_T3_00039,ermawu,sim_ermawu_l3l4,保留原貌真有味道，修新如旧做得好,修旧如旧,urban_renewal,文化,0.804,Very Positive,pos,0.714,0.731,0.834,乐,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.609,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.937,0,111.277819,30.697544
ermawu_T3_00040,ermawu,sim_ermawu_l3l4,期待焕新效果,文旅活力,urban_operation,事件,0.418,Neutral,neu,0.681,0.728,0.899,盼,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.652,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.761,1,111.275316,30.699202
ermawu_T3_00041,ermawu,sim_ermawu_l3l4,打卡墙前要排队,网红打卡,urban_operation,文化,0.51,Neutral,neu,0.351,0.92,0.847,急,历史街区,2026-05-07,2026-05 五一·大南门建成文旅爆满,0.713,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,neu,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.71,0,111.281808,30.696323
ermawu_T3_00042,ermawu,sim_ermawu_l3l4,开街后人气回来了，热闹得像过年,文旅活力,urban_operation,事件,0.9,Very Positive,pos,0.789,0.936,0.869,喜,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.617,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,pos,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.799,1,111.279004,30.697452
ermawu_T3_00043,ermawu,sim_ermawu_l3l4,施工快收尾了，忍忍,施工扰民,urban_governance,环境,0.597,Neutral,neu,0.45,0.797,0.807,急,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.481,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neu,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.691,0,111.284025,30.694056
ermawu_T3_00044,ermawu,sim_ermawu_l3l4,不变拆真改，原汁原味加分,修旧如旧,urban_renewal,文化,0.736,Very Positive,pos,0.625,0.821,0.702,乐,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.7,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.746,0,111.280008,30.693
ermawu_T3_00045,ermawu,sim_ermawu_l3l4,二马路成了网红打卡地，年轻人多,网红打卡,urban_operation,文化,0.76,Positive,pos,0.531,0.888,0.908,喜,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.489,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,pos,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.911,0,111.282918,30.692673
ermawu_T3_00046,ermawu,sim_ermawu_l3l4,夜幕降临热闹起来，有活力,夜经济,urban_operation,事件,0.674,Very Positive,pos,0.563,0.776,0.732,乐,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.533,aspect,夜经济,ermawu,ermawu,1,1,夜经济,pos,"[""夜经济""]",夜经济,"城市更新""十五五""规划(生活圈扩围;夜经济)",一刻钟便民生活圈建设;夜经济品牌培育,"[[""urban_operation"", ""事件"", ""主""], [""urban_governance"", ""事件"", ""次""]]",0.749,1,111.273881,30.698048
ermawu_T3_00047,ermawu,sim_ermawu_l3l4,周边夜市烟火升腾，烧烤烤鱼小吃全有,夜经济,urban_operation,事件,0.87,Very Positive,pos,0.322,0.898,0.739,喜,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.804,aspect,夜经济,ermawu,ermawu,1,1,夜经济,pos,"[""夜经济""]",夜经济,"城市更新""十五五""规划(生活圈扩围;夜经济)",一刻钟便民生活圈建设;夜经济品牌培育,"[[""urban_operation"", ""事件"", ""主""], [""urban_governance"", ""事件"", ""次""]]",0.929,1,111.280774,30.695128
ermawu_T3_00048,ermawu,sim_ermawu_l3l4,业态有调性，不低端,业态丰富度,urban_operation,服务,0.633,Very Positive,pos,0.504,0.869,0.781,喜,历史街区,2026-05-03,2026-05 五一·大南门建成文旅爆满,0.814,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,pos,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.781,0,111.283182,30.69317
