维度,序号,问题涉及的指标,指标结果,存在问题,整治建议,整治区域,整治类型,责任单位
小区（社区）,3,未达标配建幼儿园的小区数量（个）,11,社区幼儿园设施规划建设不达标；普惠性服务供给不足。,1.在幼儿园服务盲区精准增补普惠性质的幼儿园。 2.加强对幼儿园内教学及后勤的监管。,11个小区,尽力解决,市教育局
小区（社区）,4,小学学位缺口数（个）,6603,小学学位供给存在缺口，部分现状学校存在超额、超班现象。,扩容现有学校学位，适度在学位紧张区域新建小学。动态调整学区规划，减少超额学位学校的负担。,31个社区,尽力解决,市教育局
小区（社区）,5,停车泊位缺口数（个）,29912,老旧小区机动车停车位缺口大；部分区域静态交通秩序较乱。,利用金角银边、灰色空间、闲置低效用地因地制宜加强公共停车场建设。发掘区域内机关事业单位、商业设施、小区等停车场的停车潜力，利用分时段共享等方式为周边居民提供停车服务。加强对小区内不文明停车的监管力度。利用小区内外闲置空间合理安排非机动车停车。,61个社区,尽力解决,西陵区 伍家岗区住建局、市城管委
小区（社区）,6,新能源汽车充电桩缺口数（个）,1595,现有充电桩数量无法满足居民新能源汽车充电需求，存在供需缺口；新建住宅配建停车位不达标；充电桩在安装、使用、运维环节存在流程不规范、维护不到位、兼容性差等问题。,对有条件配置的小区增补新能源充电桩供给，呼吁居民遵守共享充电桩“充完即走”的原则。加强对既有充电桩的维护与管理，加强安装流程的监管。,40个社区,尽力解决,西陵区 伍家岗区住建局
小区（社区）,7,未配建电动自行车充电设施的小区数量（个）,50,基础设施配置缺陷；违规充电行为治理失效；消防安全责任体系存在漏洞。,在小区内部或外部增补部分共享充电桩满足充电需求。加大对不安全违规充电行为的监管与处罚力度。,24个社区,尽力解决,西陵区 伍家岗区住建局
小区（社区）,8,未达标配建公共活动场地的小区数量（个）,27,公共空间、活动场地配建存在不足；全龄友好活动设施存在短板,增设小区内部公共活动空间，对老旧损耗设施进行维修和更换。,27个小区,尽力解决,西陵区 伍家岗区住建局
小区（社区）,9,不达标的步行道长度（千米）,2.09,市政基础设施存在不足，路面存在失修，照明存在缺失情况；步行系统安全性存在缺陷，慢行网络断点，铺装适老化不足；无障碍环境建设滞后。,修复破损路面，增补照明设，进行无障碍通道改造，加强智慧监管。,12个社区,尽力解决,西陵区 伍家岗区住建局
小区（社区）,10,未实施物业管理的小区数量（个）,273,缺乏“资质合规、服务标准、资金透明、应急有力”的专业化物业管理体系。,加强物业公司、社区、居民委员会的三方联系合作，改善物业公司的服务管理系。,273个小区,尽力解决,西陵区 伍家岗区住建局
小区（社区）,11,需要进行智慧化改造的小区数量（个）,31,智能化基础设施配建缺失，末端配送设施缺位，安防系统功能残缺；公共服务信息化效能不足，政务服务断层，便民系统易用性差；智慧安全管理体系薄弱；平台整合能力存在缺陷。,加强小区安防、消防、公共信息平台、便民服务等智慧化服务体系建设，增补缺少的相应设施。,31个小区,/,西陵区 伍家岗区住建局
街区,1,中学服务半径覆盖率（%）,56.10,主要存在伍家岗区生物产业园范围内由于没有中学，因此其覆盖率为0%。伍家岗街办、宝塔河街办和伍家乡由于辖区面积较大，人口较多，中学配置不足。,1.优化调整学区覆盖，对于生物产业园范围内的住宅小区进行邻近学区匹配。 2.范围调整与学位升级扩容，对于中学配置不足的区域促进区域的学位供需匹配。,/,尽力解决,市教育局
街区,2,未达标配建的多功能运动场地数量（个）,6,主要存在部分街办文体育设施面积尚未达标，个别街办因为资金或场地问题尚未建设体育设施。,加强政企合作激活闲置资源。联合企业投资缓解资金压力，引导闲置空地转化为多功能活动场地。,西陵区东苑街办、学院街办、夜明珠街办、西陵街办和伍家岗区生物产业园、大公桥街办,尽力解决,市住新局、市资建局、市财政局、市文旅局等
街区,3,存在道路照明问题的道路数量（个）,39,主要存在西陵区的部分老旧小区的巷道或小区出入口处缺少路灯配置。,补齐背街小巷和老旧小区入口等区域路灯照明设施，方便居民出入。,西陵区,尽力解决,西陵区 伍家岗区住建局
街区,4,存在乱停乱放车辆问题的道路数量（条）,4,主要存在西陵区二马路与伍家岗区的兴润路存在全路段的乱停乱放问题。西陵区唐家湾路在一方菜场路段和伍家岗区共谊一路在梧桐邑小区路段车辆乱停乱放问题较为严重。,增设停车位供给和创新管理模式。一是增设周边停车场车位，利用潮汐车位等方式整体管控车位供给；二是加强路段违停管制。,西陵区二马路、唐家湾路与伍家岗区的兴润路、共谊一路路段,尽力解决,市城管委、市公安局交警支队
街区,5,需要更新改造的老旧商业街区数量（个）,3,主要位于西陵区葛洲坝街办的葛洲坝宾馆地块、西陵街办的华翔商业中心和西陵后路商业街区。,激活低效空间。改造老旧设施结合当地特色文化激发地域商业活力，建设独特商业空间。,葛洲坝宾馆地块、华翔商业中心、西陵后路商业街区,尽力解决,西陵区住建局
街区,6,需要进行更新改造的老旧厂区数量（个）,5,主要位于西陵区夜明珠街办的夜明珠钢材市场，西陵街办的四零三厂，窑湾街办的永兴科技园、东苑管理区的宜昌太平鸟创意投资有限公司和宜昌三峡制药有限公司。,采取“工业遗产+”开发模式，在保留工业风貌和历史记忆的基础上，植入商业、文创、居住等现代功能。,夜明珠钢材市场、四零三厂，永兴科技园、宜昌太平鸟创意投资有限公司、宜昌三峡制药有限公司,尽力解决,西陵区住建局
街区,7,需要进行更新改造的老旧生活区数量（个）,2,主要位于建设路片区和南湖片区。,改善生活环境，提高居住质量。改善老旧街区的配套生活设施，丰富街区景观提升区域生活品质。,建设路片区、南湖片区,尽力解决,西陵区住建局
城区,1,建成区人口密度（万人/平方公里）,0.67,,1.在低密度区域配套建设职住平衡的社区产业，以就业机会吸引人口集聚。 2.推动西陵区、小溪塔街办等人口过载区域有序向新中心疏解 3.城市新中心加强基础服务设施建设引导人口分布。,/,尽力解决,市住新局、市发改委、市商务局、市资建局等
城区,2,足球场地服务半径覆盖率(%),26.34,,1.对集中区域的足球场地空间实行定期维护以及加强预约型资源共享。 2.结合点军、猇亭等组团的居住区分布，在人口密集区域周边合理布局足球场地。,点军区、猇亭区,尽力解决,市住新局、市资建局、市财政局、市文旅局等
城区,3,新建建筑中绿色建筑占比(%),51.47,,实施税费减免等激励政策，重点推广可再生能源应用和节能技术，建立绿色金融支持体系，开展示范项目建设，并加强从设计到运营的全过程监管，确保绿色建筑标准有效落实。,/,尽力解决,市资建局
城区,4,历史建筑空置率(%),29,,加强地方特色文化发展与宣传，通过功能置换、文化赋能（艺术展览、沉浸体验）、社区共建（公众参与、文创开发）、举办传统活动等方式激活历史建筑文化生命力。,/,尽力解决,市住新局、市文旅局
城区,5,城市消防站服务半径覆盖率(%),20.59,,加强猇亭和伍家岗区小型消防站建设，加密建成区消防设施建设。,/,尽力解决,市消防支队
城区,6,高层民用建筑智能化火灾监测预警覆盖率(%),11.6,,推广安装智能烟感、温感及电气火灾监控系统，接入统一消防物联网平台；利用AI分析实时监测异常数据，自动预警并联动应急响应；加强老旧建筑智能化改造，提升火灾监测覆盖率。,/,尽力解决,市消防支队
城区,7,新中心人口密度(%),0.50,,加快新中心基础设施与公共服务设施建设，吸引高端人才工作与定居。,/,尽力解决,宜昌新区推进办
