序号,维度,子维度,指标项,2025体检值,评价,综合分档,指标归属,指标范畴,主题分类,task_8,project_type,board,落位能力
13,小区（社区）,设施完善,小学学位缺口数（个）,7482,——,——,住建部基础(60),人工排查判定,民生基础需求,城市功能,公服设施,民生基础需求,精准（栋/小区级·有矢量层）
14,小区（社区）,设施完善,停车泊位缺口数（个）,2.99万,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,停车设施,民生基础需求,精准（栋/小区级·有矢量层）
15,小区（社区）,设施完善,新能源汽车充电桩缺口数（个）,1595,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,停车设施,民生基础需求,精准（栋/小区级·有矢量层）
16,小区（社区）,设施完善,未配建电动自行车充电设施的小区数量（个）,50,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,停车设施,民生基础需求,精准（栋/小区级·有矢量层）
17,小区（社区）,环境宜居,未达标配建公共活动场地的小区数量（个）,27,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,公服设施,民生基础需求,精准（栋/小区级·有矢量层）
18,小区（社区）,环境宜居,不达标的步行道长度（千米）,2.09,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,交通设施,民生基础需求,精准（栋/小区级·有矢量层）
19,小区（社区）,环境宜居,未实施生活垃圾分类的小区数量（个）,0,——,——,住建部基础(60),人工排查判定,民生基础需求,城市生态系统,环境治理,民生基础需求,无法（城区宏观/无空间层·仅总量）
20,小区（社区）,管理健全,未实施物业管理的小区数量（个）,273,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,物业管理,民生基础需求,精准（栋/小区级·有矢量层）
21,小区（社区）,管理健全,需要进行智慧化改造的小区数量（个）,31,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,物业管理,其他,精准（栋/小区级·有矢量层）
22,街区,功能完善,中学服务半径覆盖率（%）,56.10,——,——,住建部基础(60),客观量化,民生基础需求,城市功能,公服设施,民生基础需求,大致（街区级·有矢量面层）
23,街区,功能完善,未达标配建的多功能运动场地数量（个）,6,——,——,住建部基础(60),客观量化,民生基础需求,完整社区,公服设施,民生基础需求,大致（街区级·有矢量面层）
24,街区,功能完善,未达标配建的文化活动中心数量（个）,——,——,——,住建部基础(60),客观量化,民生基础需求,完整社区,公服设施,民生基础需求,无法（城区宏观/无空间层·仅总量）
25,街区,功能完善,公园绿化活动场地服务半径覆盖率（%）,91,——,——,住建部基础(60),客观量化,其他,城市生态系统,环境治理,其他,大致（街区级·有矢量面层）
26,街区,功能完善,菜市场（生鲜超市）覆盖率（%）,57.84,——,——,湖北省自选(9),客观量化,民生基础需求,完整社区,公服设施,民生基础需求,大致（街区级·有矢量面层）
27,街区,功能完善,存在道路照明问题的道路数量(个),39,——,——,湖北省自选(9),人工排查判定,民生基础需求,完整社区,交通设施,民生基础需求,无法（城区宏观/无空间层·仅总量）
28,街区,整洁有序,存在乱停乱放车辆问题的道路数量（条）,4,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,街面秩序,民生基础需求,大致（街区级·有矢量面层）
29,街区,特色活力,需要更新改造的老旧商业街区数量（个）,3,——,——,住建部基础(60),人工排查判定,其他,城中村/老厂区/老街区,城市更新,其他,无法（城区宏观/无空间层·仅总量）
30,街区,特色活力,需要更新改造的老旧厂区数量（个）,5,——,——,住建部基础(60),人工排查判定,其他,城中村/老厂区/老街区,城市更新,其他,无法（城区宏观/无空间层·仅总量）
31,街区,特色活力,需要更新改造的老旧生活街区数量（个）,2,——,——,住建部基础(60),人工排查判定,其他,城中村/老厂区/老街区,城市更新,民生基础需求,无法（城区宏观/无空间层·仅总量）
32,城市（城区）,生态宜居,建成区人口密度（万人/平方公里）,0.67,不足,中,湖北省自选(9),客观量化,其他,城市生态系统,环境治理,其他,无法（城区宏观/无空间层·仅总量）
33,城市（城区）,生态宜居,城市生活污水集中收集率（%）,81.06,较好,中,住建部基础(60),客观量化,其他,城市生态系统,环境治理,民生基础需求,无法（城区宏观/无空间层·仅总量）
34,城市（城区）,生态宜居,10万人拥有综合公园个数(个),2,很好,中,湖北省自选(9),客观量化,其他,城市生态系统,环境治理,其他,无法（城区宏观/无空间层·仅总量）
35,城市（城区）,生态宜居,城市黑臭水体数量（个）,0,很好,中,住建部基础(60),客观量化,其他,城市生态系统,环境治理,民生基础需求,无法（城区宏观/无空间层·仅总量）
36,城市（城区）,生态宜居,绿道服务半径覆盖率（%）,80.72,一般,中,住建部基础(60),客观量化,其他,城市生态系统,环境治理,其他,无法（城区宏观/无空间层·仅总量）
37,城市（城区）,生态宜居,足球场地服务半径覆盖率(%),26.34,不足,中,住建部基础(60),客观量化,其他,城市生态系统,公服设施,其他,无法（城区宏观/无空间层·仅总量）
38,城市（城区）,生态宜居,人均公共文化设施面积（平方米/人）,0.31,很好,中,住建部基础(60),客观量化,其他,城市功能,公服设施,民生基础需求,无法（城区宏观/无空间层·仅总量）
39,城市（城区）,生态宜居,城市道路网密度（公里/平方公里）,8.68,一般,中,住建部基础(60),客观量化,其他,城市功能,交通设施,其他,无法（城区宏观/无空间层·仅总量）
40,城市（城区）,生态宜居,新建建筑中绿色建筑占比（%）,51.47,不足,中,住建部基础(60),客观量化,其他,城市生态系统,环境治理,其他,无法（城区宏观/无空间层·仅总量）
41,城市（城区）,生态宜居,城镇老旧小区改造完成率（%）,100,很好,中,湖北省自选(9),客观量化,其他,老旧小区,住房,民生基础需求,无法（城区宏观/无空间层·仅总量）
42,城市（城区）,历史文化保护利用,历史文化街区、历史建筑挂牌建档率（%）,100,很好,良,住建部基础(60),客观量化,其他,城市历史文化,城市更新,其他,无法（城区宏观/无空间层·仅总量）
43,城市（城区）,历史文化保护利用,历史建筑空置率（%）,29,不足,良,住建部基础(60),客观量化,其他,城市历史文化,城市更新,其他,无法（城区宏观/无空间层·仅总量）
44,城市（城区）,历史文化保护利用,历史文化资源遭受破坏的负面事件数（起）,0,很好,良,住建部基础(60),客观量化,其他,城市历史文化,城市更新,其他,无法（城区宏观/无空间层·仅总量）
45,城市（城区）,历史文化保护利用,擅自拆除历史文化街区内建筑物、构筑物的数量（栋）,0,很好,良,住建部基础(60),客观量化,其他,城市历史文化,城市更新,其他,无法（城区宏观/无空间层·仅总量）
46,城市（城区）,历史文化保护利用,当年各类保护对象增加数量（个）,22,很好,良,住建部基础(60),客观量化,其他,城市历史文化,城市更新,其他,无法（城区宏观/无空间层·仅总量）
47,城市（城区）,产城融合、职住平衡,城市高峰期机动车平均速度（km/h）,工作日早高峰快速路平均车速54.44Km/h，主干路平均车速36.82Km/h，晚高峰平均车速分别为53.69km/h和35.18Km/h,很好,良,住建部基础(60),客观量化,民生基础需求,城市功能,交通设施,其他,无法（城区宏观/无空间层·仅总量）
48,城市（城区）,产城融合、职住平衡,公交站点覆盖率(%）,城市公交站点300米覆盖率为82.87%，500米覆盖率为100%,很好,良,湖北省自选(9),客观量化,民生基础需求,城市功能,交通设施,民生基础需求,无法（城区宏观/无空间层·仅总量）
49,城市（城区）,产城融合、职住平衡,轨道站点周边覆盖通勤比例（%）,——,——,良,住建部基础(60),客观量化,民生基础需求,城市功能,交通设施,其他,无法（城区宏观/无空间层·仅总量）
50,城市（城区）,产城融合、职住平衡,城市生活垃圾资源化利用率（%）,84.35,很好,良,湖北省自选(9),客观量化,其他,城市生态系统,环境治理,民生基础需求,无法（城区宏观/无空间层·仅总量）
51,城市（城区）,产城融合、职住平衡,公厕设置密度(座/平方公里),4.1,一般,良,湖北省自选(9),客观量化,民生基础需求,完整社区,公服设施,民生基础需求,无法（城区宏观/无空间层·仅总量）
52,城市（城区）,产城融合、职住平衡,年度保障性住房占比（%）,45.70,很好,良,住建部基础(60),客观量化,民生基础需求,城市功能,住房,民生基础需求,无法（城区宏观/无空间层·仅总量）
53,城市（城区）,产城融合、职住平衡,城中村改造完成率（%）,100,很好,良,住建部基础(60),客观量化,其他,城中村/老厂区/老街区,城市更新,民生基础需求,无法（城区宏观/无空间层·仅总量）
54,城市（城区）,安全韧性,房屋市政工程生产安全事故死亡率（%）,0.29,一般,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,安全消防,安全韧性底线,无法（城区宏观/无空间层·仅总量）
55,城市（城区）,安全韧性,严重易涝积水点数量（个）,0,很好,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,市政管网,安全韧性底线,无法（城区宏观/无空间层·仅总量）
56,城市（城区）,安全韧性,城市排水防涝应急抢险能力（万立方米/小时/平方千米）,0.02,很好,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,市政管网,安全韧性底线,无法（城区宏观/无空间层·仅总量）
57,城市（城区）,安全韧性,应急供水保障率（%）,63.33,很好,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,市政管网,安全韧性底线,无法（城区宏观/无空间层·仅总量）
58,城市（城区）,安全韧性,“平急两用”公共基础设施数量(个),——,——,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,安全消防,安全韧性底线,无法（城区宏观/无空间层·仅总量）
59,城市（城区）,安全韧性,城市危旧桥梁数量（座）,0,很好,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,交通设施,安全韧性底线,无法（城区宏观/无空间层·仅总量）
60,城市（城区）,安全韧性,老旧市政燃气管网年度改造完成率（%）,100,很好,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,市政管网,安全韧性底线,无法（城区宏观/无空间层·仅总量）
61,城市（城区）,安全韧性,城市消防站服务半径覆盖率（%）,20.59,不足,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,安全消防,安全韧性底线,无法（城区宏观/无空间层·仅总量）
62,城市（城区）,安全韧性,人均避难场所有效避难面积(平方米/人),3.36,很好,中,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,安全消防,安全韧性底线,无法（城区宏观/无空间层·仅总量）
63,城市（城区）,智慧高效,市政管网管线智能化监测管理率（%）,90.37,很好,良,住建部基础(60),客观量化,其他,城市安全韧性,市政管网,安全韧性底线,无法（城区宏观/无空间层·仅总量）
64,城市（城区）,智慧高效,建筑施工危险性较大的分部分项工程安全监测覆盖率（%）,100,很好,良,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,安全消防,安全韧性底线,无法（城区宏观/无空间层·仅总量）
65,城市（城区）,智慧高效,高层民用建筑智能化火灾监测预警覆盖率（%）,11.6,不足,良,住建部基础(60),客观量化,安全韧性底线,城市安全韧性,安全消防,安全韧性底线,无法（城区宏观/无空间层·仅总量）
66,城市（城区）,智慧高效,城市信息模型（CIM）基础平台建设三维数据覆盖率（%）,79.91,很好,良,住建部基础(60),客观量化,其他,城市功能,公服设施,其他,无法（城区宏观/无空间层·仅总量）
67,城市（城区）,智慧高效,城市运行管理服务智慧化水平（件/平方千,7.98,很好,良,住建部基础(60),客观量化,其他,城市功能,公服设施,其他,无法（城区宏观/无空间层·仅总量）
68,城市（城区）,智慧高效,智能停车场管理系统覆盖率（%）,98.92,较好,良,湖北省自选(9),客观量化,其他,完整社区,停车设施,其他,无法（城区宏观/无空间层·仅总量）
69,城市（城区）,特色指标,城市数字公共基础设施底座平台完成率（%）,100,很好,——,宜昌特色(8),客观量化,其他,城市功能,公服设施,其他,无法（城区宏观/无空间层·仅总量）
70,城市（城区）,特色指标,新中心重大功能设施投资完成率（%）,-,较好,——,宜昌特色(8),客观量化,其他,城市功能,公服设施,其他,无法（城区宏观/无空间层·仅总量）
71,城市（城区）,特色指标,新中心人口密度（万人/平方公里）,0.50,不足,——,宜昌特色(8),客观量化,其他,城市功能,住房,其他,无法（城区宏观/无空间层·仅总量）
72,城市（城区）,特色指标,新中心林荫路覆盖率（%）,88.57,较好,——,宜昌特色(8),客观量化,其他,城市生态系统,环境治理,其他,无法（城区宏观/无空间层·仅总量）
73,城市（城区）,特色指标,长江干流及主要一级支流Ⅱ类水体比例（%）,100,很好,——,宜昌特色(8),客观量化,其他,城市生态系统,环境治理,其他,无法（城区宏观/无空间层·仅总量）
74,城市（城区）,特色指标,主城区空气质量优良天数全年占比(%),84.40,较好,——,宜昌特色(8),客观量化,其他,城市生态系统,环境治理,其他,无法（城区宏观/无空间层·仅总量）
75,城市（城区）,特色指标,低效用地再开发面积（平方米）,2862793,较好,——,宜昌特色(8),客观量化,其他,城中村/老厂区/老街区,城市更新,其他,无法（城区宏观/无空间层·仅总量）
76,城市（城区）,特色指标,闲置资产面积（平方米）,0,较好,——,宜昌特色(8),客观量化,其他,城市功能,住房,其他,无法（城区宏观/无空间层·仅总量）
77,问题整治,问题整治,问题整治完成率（%）,61,—,—,住建部基础(60),客观量化,其他,—（评估效果）,—,整治成效,整治成效（独立·不落位）
