维度,子维度,序号,指标项,体检内容,2025体检指标标值,2025年评价结果,综合分档
小区（社区）,管理健全,21,需要进行智慧化改造的小区数量（个）,按照民政部、住房和城乡建设部等部门《关于深入推进智慧社区建设的意见》要求，查找未安装智能信包箱、智能快递柜、智能安防设施及系统建设不完善等问题。有条件的，查找智慧社区综合信息平台建设、公共服务信息化建设等方面的差距和不足。,31,——,——
街区,功能完善,22,中学服务半径覆盖率（%）,调查分析中学1公里服务半径覆盖的居住用地面积，占所在街办总居住用地面积的百分比，查找中学学位供给与适龄青少年就近入学需求方面的差距和不足。,56.10,——,——
街区,功能完善,23,未达标配建的多功能运动场地数量（个）,按照《城市社区多功能公共运动场配置要求》《城市居住区规划设计标准》要求，查找多功能运动场地配建缺失、场地面积不足、设施设备不完善、布局不均衡，以及没有向公众开放等问题。,6,——,——
街区,功能完善,24,未达标配建的文化活动中心数量（个）,按照《城市居住区规划设计标准》要求，查找文化活动中心配建缺失，或文化活动中心面积不足，青少年和老年活动设施、儿童之家服务功能不完善，布局不均衡，以及没有向公众开放等问题。,——,——,——
街区,功能完善,25,公园绿化活动场地服务半径覆盖率（%）,按照“300米见绿，500米见园”以及公园绿地面积标准要求，调查分析公园绿化活动场地服务半径覆盖的居住用地面积，占所在街办居住用地总面积的百分比，查找公园绿化活动场地布局不均衡、面积不达标等问题。,91,——,——
街区,功能完善,26,菜市场（生鲜超市）覆盖率（%）,按照商务部办公厅等11部门印发《城市一刻钟便民生活圈建设指南》的要求，调查菜市场(生鲜超市)服务半径覆盖的居住用地占所在街办总居住用地面积的百分比。菜市场(生鲜超市)按800米服务半径(步行10分钟)测算。,57.84,——,——
街区,功能完善,27,存在道路照明问题的道路数量(个),按照《城市市容市貌干净整洁有序安全标准(试行)》要求，调查道路照明设施数量、质量不达标的道路数量。道路路灯装灯率应达到100%，设施完好率不低于98%，沿街亮灯率不低于95%。,39,——,——
街区,整洁有序,28,存在乱停乱放车辆问题的道路数量（条）,按照《城市市容市貌干净整洁有序安全标准（试行）》要求，查找街办上机动车、非机动车无序停放、占用绿化带和人行道的问题。,4,——,——
街区,特色活力,29,需要更新改造的老旧商业街区数量（个）,查找老旧商业街区在购物、娱乐、旅游、文化等多功能业态集聚、公共空间塑造、步行环境整治、运营服务等方面的问题与短板。,3,——,——
街区,特色活力,30,需要更新改造的老旧厂区数量（个）,查找老旧厂区在闲置资源盘活利用、新业态新功能植入、产业转型升级以及专业化运营管理等方面存在的问题和短板。,5,——,——
街区,特色活力,31,需要更新改造的老旧生活街区数量（个）,查找老旧生活街区在既有建筑保留利用、公共服务设施配置、基础设施更新改造、文化记忆塑造以及功能转换、活力提升等方面存在的问题、短板和潜力。,2,——,——
城市（城区）,生态宜居,32,建成区人口密度（万人/平方公里）,调查市辖区建成区内单位用地面积上的常住人口数。省会和地级市（州）建成区人口密度达到0.7≤X≤1.5万人/平方公里，县级市（县、区）0.6≤X≤1万人/平方公里。,0.67,不足,中
城市（城区）,生态宜居,33,城市生活污水集中收集率（%）,按照城市生活污水集中收集率不低于70%的目标，调查分析影响市辖区建成区生活污水集中收集效能的各种因素，查找城市污水收集管网建设改造、运维等方面的差距和问题。,81.06,较好,中
城市（城区）,生态宜居,34,10万人拥有综合公园个数(个),调查市辖区建成区内城区人口每10万人拥有的综合公园个数。国家园林城市10万人拥有综合公园个数应不低于1个每10万人(城区人口包括户籍人口和暂住人口，大于等于50万人口城市，综合公园面积应大于10公顷;小于50万人口城市，综合公园面积应大于5公顷)，,2,很好,中
城市（城区）,生态宜居,35,城市黑臭水体数量（个）,按照深入打好城市黑臭水体治理攻坚战的要求，调查市辖区建成区内现存黑奥水体(包括返黑返臭水体)数量，不包括已经完成治理的水体。,0,很好,中
城市（城区）,生态宜居,36,绿道服务半径覆盖率（%）,按照绿道服务半径覆盖率不低于70%的目标，调查分析市辖区建成区内绿道两侧1公里服务半径覆盖的居住用地面积，占总居住用地面积的百分比，查找城市绿道长度、布局、贯通性、建设品质等方面的差距和问题。,80.72,一般,中
城市（城区）,生态宜居,37,足球场地服务半径覆盖率(%),调查分析市辖区建成区内足球场地服务半径覆盖的居住用地面积占总居住用地面积的百分比，查找城市足球场地建设布局方面的差距和问题。,26.34,不足,中
城市（城区）,生态宜居,38,人均公共文化设施面积（平方米/人）,按照人均公共文化设施面积不低于0.2平方米的目标，调查市辖区建成区内常住人口人均拥有的公共文化设施面积情况，查找城市公共文化设施、服务体系等方面的差距和问题。,0.31,很好,中
城市（城区）,生态宜居,39,城市道路网密度（公里/平方公里）,按照道路网密度达到8千米/平方千米的目标，调查分析市辖区建成区内城市道路长度(包括快速路、主干路、次干路及支路)与建成区面积的比值，查找城市综合交通体系建设方面存在的差距和问题。,8.68,一般,中
城市（城区）,生态宜居,40,新建建筑中绿色建筑占比（%）,按照城镇新建建筑全面建成绿色建筑的目标调查分析当年市辖区内新开工绿色建筑面积占新开工建筑总面积的百分比，查找城市绿色建筑发展方面存在的差距和问题。,51.47,不足,中
城市（城区）,生态宜居,41,城镇老旧小区改造完成率（%）,调查市辖区建成区内实际完成的城镇老旧小区改造项目占列入当年城镇老旧小区改造年度计划的改造项目比例。,100,很好,中
城市（城区）,历史文化保护利用,42,历史文化街区、历史建筑挂牌建档率（%）,按照历史文化街区、历史建筑挂牌建档率达到100%的目标，调查分析市辖区内完成挂牌建档的历史文化街区、历史建筑数量，占已认定并公布的历史文化街区、历史建筑总数量的百分比，查找历史文化名城、名镇、名村(传统村落)、街区、历史建筑和历史地段等各类保护对象测绘、建档、挂牌等方面存在的问题。,100,很好,良
城市（城区）,历史文化保护利用,43,历史建筑空置率（%）,调查市辖区内闲置半年以上的历史建筑数量，占公布的历史建筑总数的百分比，查找城市历史建筑活化利用、以用促保等方面存在的问题。,29,不足,良
城市（城区）,历史文化保护利用,44,历史文化资源遭受破坏的负面事件数（起）,调查市辖区内文物建筑、历史建筑和各类具有保护价值的建筑，以及古树名木等历史环境要素遭受破坏的负面事件数量，查找城乡建设中历史文化遗产遭破坏、拆除，大规模搬迁原住居民等方面的问题。,0,很好,良
城市（城区）,历史文化保护利用,45,擅自拆除历史文化街区内建筑物、构筑物的数量（栋）,调查市辖区历史文化街区核心保护范围内，未经有关部门批准，拆除历史建筑以外的建筑物、构筑物或者其他设施的数量，查找违规拆除或审批管理机制不健全等方面的问题。,0,很好,良
城市（城区）,历史文化保护利用,46,当年各类保护对象增加数量（个）,调查市辖区内已认定公布的历史文化街区、不可移动文物、历史建筑、历史地段、工业遗产等保护对象数量比上年度增加数量，查找历史文化资源调查评估机制不健全，未做到应保尽保的问题。,22,很好,良
城市（城区）,产城融合、职住平衡,47,城市高峰期机动车平均速度（km/h）,按照城市快速路、主干路早晚高峰期平均车速分别不低于30km/h、20km/h的标准要求，调查工作日早晚高峰时段城市主干路及以上等级道路上各类机动车的平均行驶速度，查找城市交通拥堵情况。,工作日早高峰快速路平均车速54.44Km/h，主干路平均车速36.82Km/h，晚高峰平均车速分别为53.69km/h和35.18Km/h,很好,良
城市（城区）,产城融合、职住平衡,48,公交站点覆盖率(%）,按照《城市综合交通体系规划标准》(GB/T51328-2018)的要求，调查市辖区建成区公交站点服务面积占建成区建设用地总面积的百分比。城市公交站点300米覆盖率不应小于50%，500米覆盖率不应小于90%(公交站点服务面积以公交车站为中心，300米或500米步行距离为半径)。,城市公交站点300米覆盖率为82.87%，500米覆盖率为100%,很好,良
城市（城区）,产城融合、职住平衡,49,轨道站点周边覆盖通勤比例（%）,参照超大城市>30%、特大城市>20%、大城市>10%的目标，调查分析市辖区内轨道站点800米范围覆盖的轨道交通通勤量，占城市总通勤量的比例，查找城市轨道交通站点与周边地区土地综合开发、长距离通勤效能等方面存在的短板和问题。,——,——,良
城市（城区）,产城融合、职住平衡,50,城市生活垃圾资源化利用率（%）,调查城市生活垃圾资源化利用率，公式为[（可回收物回收量+焚烧处理量*焚烧处理的资源化率折算系数+厨余垃圾处理量*厨余垃圾处理的资源化率折算系数+卫生填埋处理量*卫生填埋处理的资源化率折算系数）/（可回收物回收量+生活垃圾清运量）]*100%。城市生活垃圾资源化利用率应不低于55%。,84.35,很好,良
城市（城区）,产城融合、职住平衡,51,公厕设置密度(座/平方公里),按照《城市环境卫生设施规划标准》(GB/T50337-2018)的要求，调查市辖区建成区公厕数量与建成区建设用地总面积的百分比。城市公厕数量应达到平均不低于4座/平方公里。,4.1,一般,良
城市（城区）,产城融合、职住平衡,52,年度保障性住房占比（%）,调查住房保障轮侯库特别是配售型保障性住房轮候库建设情况，分析新增保障性住房占当年新增住房供应的比例，摸清保障性住房需求与供给情况。,45.70,很好,良
城市（城区）,产城融合、职住平衡,53,城中村改造完成率（%）,调查当年完成改造的城中村数量，占城镇开发边界内各类需要改造城中村总数量的比例，摸清本区域内城中村总量、分布、规模以及改造情况。,100,很好,良
城市（城区）,安全韧性,54,房屋市政工程生产安全事故死亡率（%）,调查市辖区内房屋市政工程生产安全事故起数，查找城市房屋市政工程安全生产方面存在的问题。按照房屋市政工程安全生产治本攻坚三年行动有关要求，调查分析全年房屋市政工程生产安全事故死亡人数占全年在建房屋市政工程项目数量的百分比，查找各地在房屋市政工程安全生产工作开展方面存在问题。,0.29,一般,中
城市（城区）,安全韧性,55,严重易涝积水点数量（个）,调查市辖区建成区内现存严重影响生产生活秩序的易涝积水点数量，查找城市排水防涝工程体系建设方面的差距和问题。,0,很好,中
城市（城区）,安全韧性,56,城市排水防涝应急抢险能力（万立方米/小时/平方千米）,按照《国务院办公厅关于加强城市内涝治理的实施意见》的要求，调查分析市辖区建成区内配备的排水防涝抽水泵、移动排涝泵车及相应配套的自主发电等排水防涝设施规模，查找城市排水防涝隐患排查和整治、专用防汛设备和抢险物资配备、应急响应和处置等方面存在的问题。,0.02,很好,中
城市（城区）,安全韧性,57,应急供水保障率（%）,按照《关于加强城市供水安全保障工作的通知》要求，调查市辖区应急供水能力占日常供水能力的比例，分析应急水源或备用水源建设达到《城市供水应急和备用水源工程技术标准》情况、供水应急响应机制建立情况，查找在水源突发污染、旱涝急转等不同风险状况下应急供水能力方面存在的问题。,63.33,很好,中
城市（城区）,安全韧性,58,“平急两用”公共基础设施数量(个),调查超大特大城市“平急两用”公共基础设施数量，查找城市在应对有关突发公共事件能力方面存在的问题。,——,——,中
城市（城区）,安全韧性,59,城市危旧桥梁数量（座）,按照《城市桥梁养护技术标准》有关要求，调查分析城市市辖区内快速路、主干路、次干路、支路和街坊路上的桥梁完好状态或结构状况为D级、E级的桥梁数量，查找城市桥梁管理养护、保障安全运行等方面存在的差距和问题。,0,很好,中
城市（城区）,安全韧性,60,老旧市政燃气管网年度改造完成率（%）,调查分析市辖区建成区内老旧市政燃气管网年度更新改造长度，占年度老旧市政燃气管网改造计划长度的百分比，查找城市老旧市政燃气管道和设施建设改造、运维养护等方面存在的差距和问题。,100,很好,中
城市（城区）,安全韧性,61,城市消防站服务半径覆盖率（%）,按照《城市消防站建设标准》要求，调查分析市辖区建成区内各类消防站服务半径覆盖的建设用地面积，占建设用地总面积的百分比，查找城市消防站建设规模不足、布局不均衡、人员配备及消防装备配置不完备等方面的问题。,20.59,不足,中
城市（城区）,安全韧性,62,人均避难场所有效避难面积(平方米/人),按照人均避难场所的有效避难面积达到2平方米/人的要求，调查分析市辖区建成区内避难场所有效避难面积，占常住人口总数的百分比，查找城市应急避难场所规模、布局及配套设施等方面存在的差距和问题。,3.36,很好,中
城市（城区）,智慧高效,63,市政管网管线智能化监测管理率（%）,按照市政管网管线智能化监测管理率直辖市、省会城市和计划单列市≥30%、地级市≥15%的目标要求，调查分析市辖区建成区内城市供水、排水、燃气、供热等管线中，已采用物联网等技术进行智能化监测管理的管线长度，占市政管网管线总长度的百分比，查找城市在管网漏损和运行安全等在线监测、及时预警和应急处置能力等方面存在的差距和问题。,90.37,很好,良
城市（城区）,智慧高效,64,建筑施工危险性较大的分部分项工程安全监测覆盖率（%）,按照《安全生产法》关于“推行网上安全信息采集、安全监管和监测预警”的要求，调查分析市辖区房屋市政工程建筑起重机械、深基坑、高支模、城市轨道交通及市政隧道等安全风险监测数据接入城市房屋市政工程安全监管信息系统的项目数，占房屋市政工程在建工地数量的百分比，查找城市运用信息化手段，防范化解房屋市政工程领域重大安全风险方面存在的差距和问题。,100,很好,良
城市（城区）,智慧高效,65,高层民用建筑智能化火灾监测预警覆盖率（%）,参照高层民用建筑智能化火灾监测预警覆盖率达到100%的目标要求，调查分析市辖区建成区内配置了智能化火灾监测预警系统的高层建筑楼栋数量，占建成区高层民用建筑楼栋总数的百分比，查找城市在运用消防远程监控、火灾报警等智能信息化管理方面存在的差距和问题。,11.6,不足,良
城市（城区）,智慧高效,66,城市信息模型（CIM）基础平台建设三维数据覆盖率（%）,按照CIM基础平台建设三维数据覆盖率直辖市、省会城市和计划单列市≥60%、地级市≥30%的目标要求，调查分析城市CIM基础平台汇聚的三维数据投影面积，占建成区面积的百分比，查找市域三维模型覆盖、各领域应用等方面存在的差距和问题。,79.91,很好,良
城市（城区）,智慧高效,67,城市运行管理服务智慧化水平（件/平方千,调查分析市辖区建成区内城市运行管理服务平台覆盖的区域面积，及在该区域内通过平台按期处置的事项（部件事件问题）数量，查找城市运行管理服务平台建设运行、城市精细化管理方面存在的差距和问题，提高数字化、智能化手段发现和处置城市运行管理问题的能力和水平。,7.98,很好,良
城市（城区）,智慧高效,68,智能停车场管理系统覆盖率（%）,调查市辖区建成区已安装智能停车场管理系统的停车场个数占建成区停车场总数量的百分比。,98.92,较好,良
城市（城区）,特色指标,69,城市数字公共基础设施底座平台完成率（%）,根据湖北省城市数字公共基础设施建设试点工作的要求，加快推进城市信息模型（CIM）、编码赋码系统、“一标三实”(标准地址、实有人口、实有房屋、实有单位）建设，调查城市数字公共基础设施底座平台完成情况。,100,很好,——
城市（城区）,特色指标,70,新中心重大功能设施投资完成率（%）,调查自启动城市新中心建设以来，累计完成新市民中心、商业中心、企业总部等重大功能设施投资金额占新中心重大功能设施总投资的比例，动态追踪城市新中心投资强度和建设进度。,-,较好,——
城市（城区）,特色指标,71,新中心人口密度（万人/平方公里）,调查城市新中心建成区内单位用地面积上的常住人口数量。诊断城市新中心在城市空间集中方面取得的成效及问题，实现城市新中心人口集聚“动态跟踪”。,0.50,不足,——
城市（城区）,特色指标,72,新中心林荫路覆盖率（%）,调查统计新中心内城市次干路、支路的林荫路长度占城市次干路、支路总长度的比例，是衡量城市绿化水平和居民生活环境质量的重要指标之一。,88.57,较好,——
城市（城区）,特色指标,73,长江干流及主要一级支流Ⅱ类水体比例（%）,调查长江干流及主要一级支流纳入监测的断面中，达到或好于Ⅱ类水环境质量的断面数量，占监测断面总数量的比例。分析宜昌市在长江大保护方面取得的成效和存在的问题。,100,很好,——
城市（城区）,特色指标,74,主城区空气质量优良天数全年占比(%),调查统计主城区空气质量优良天数占全年比重（%）。,84.40,较好,——
城市（城区）,特色指标,75,低效用地再开发面积（平方米）,调查市辖区建成区内低效用地情况。,2862793,较好,——
城市（城区）,特色指标,76,闲置资产面积（平方米）,调查市辖区建成区范围内闲置国有资产现状情况。,0,较好,——
问题整治,问题整治,77,问题整治完成率（%）,对照整治建议清单，系统梳理总结上一年度体检发现问题的整治情况，针对限时解决和尽力解决的问题，分别调查已完成整治的数量占应整治数量的百分比。,61,—,—
